ds,y,vix
2019-01-15 12:00:00,3644.1,37.658
2019-01-15 13:00:00,3652.92,37.658
2019-01-15 14:00:00,3655.09,37.658
2019-01-15 15:00:00,3635.65,37.658
2019-01-15 16:00:00,3633.09,37.658
2019-01-15 17:00:00,3632.91,37.658
2019-01-15 18:00:00,3632.34,37.658
2019-01-15 19:00:00,3626.85,37.658
2019-01-15 20:00:00,3591.41,37.658
2019-01-15 21:00:00,3569.68,37.658
2019-01-15 22:00:00,3575.48,37.658
2019-01-15 23:00:00,3579.53,37.658
2019-01-16 00:00:00,3580.64,37.658
2019-01-16 01:00:00,3587.45,37.658
2019-01-16 02:00:00,3583.9,37.658
2019-01-16 03:00:00,3591.87,37.658
2019-01-16 04:00:00,3603.42,37.658
2019-01-16 05:00:00,3601.87,37.658
2019-01-16 06:00:00,3594.71,37.367
2019-01-16 07:00:00,3582.95,37.808
2019-01-16 08:00:00,3597.23,37.958
2019-01-16 09:00:00,3614.08,37.728
2019-01-16 10:00:00,3616.31,37.547
2019-01-16 11:00:00,3618.45,37.748
2019-01-16 12:00:00,3646.02,38.348
2019-01-16 13:00:00,3624.12,38.348
2019-01-16 14:00:00,3621.98,38.348
2019-01-16 15:00:00,3614.57,38.348
2019-01-16 16:00:00,3600.34,38.348
2019-01-16 17:00:00,3605.89,38.348
2019-01-16 18:00:00,3612.97,38.348
2019-01-16 19:00:00,3592.74,38.348
2019-01-16 20:00:00,3589.17,38.348
2019-01-16 21:00:00,3606.62,38.348
2019-01-16 22:00:00,3598.87,38.348
2019-01-16 23:00:00,3605.11,38.348
2019-01-17 00:00:00,3606.18,38.348
2019-01-17 01:00:00,3601.94,38.348
2019-01-17 02:00:00,3595.04,38.348
2019-01-17 03:00:00,3580.3,38.348
2019-01-17 04:00:00,3587.25,38.348
2019-01-17 05:00:00,3583.97,38.348
2019-01-17 06:00:00,3588.15,38.138
2019-01-17 07:00:00,3587.97,38.098
2019-01-17 08:00:00,3592.79,38.148
2019-01-17 09:00:00,3588.36,38.068
2019-01-17 10:00:00,3580.96,37.898
2019-01-17 11:00:00,3593.58,37.918
2019-01-17 12:00:00,3589.22,37.997
2019-01-17 13:00:00,3585.66,37.997
2019-01-17 14:00:00,3587.82,37.997
2019-01-17 15:00:00,3602.7,37.997
2019-01-17 16:00:00,3618.3,37.997
2019-01-17 17:00:00,3610.16,37.997
2019-01-17 18:00:00,3630.46,37.997
2019-01-17 19:00:00,3628.71,37.997
2019-01-17 20:00:00,3624.15,37.997
2019-01-17 21:00:00,3636.16,37.997
2019-01-17 22:00:00,3624.28,37.997
2019-01-17 23:00:00,3639.58,37.997
2019-01-18 00:00:00,3631.61,37.997
2019-01-18 01:00:00,3628.42,37.997
2019-01-18 02:00:00,3630.11,37.997
2019-01-18 03:00:00,3624.93,37.997
2019-01-18 04:00:00,3621.1,37.997
2019-01-18 05:00:00,3616.97,37.997
2019-01-18 06:00:00,3623.97,37.228
2019-01-18 07:00:00,3623.4,36.858
2019-01-18 08:00:00,3624.65,36.398
2019-01-18 09:00:00,3627.66,36.657
2019-01-18 10:00:00,3621.64,36.648
2019-01-18 11:00:00,3609.99,37.018
2019-01-18 12:00:00,3601.36,37.038
2019-01-18 13:00:00,3602.29,37.038
2019-01-18 14:00:00,3604.21,37.038
2019-01-18 15:00:00,3616.31,37.038
2019-01-18 16:00:00,3610.92,37.038
2019-01-18 17:00:00,3598.54,37.038
2019-01-18 18:00:00,3601.03,37.038
2019-01-18 19:00:00,3593.05,37.038
2019-01-18 20:00:00,3604.34,37.038
2019-01-18 21:00:00,3611.8,37.038
2019-01-18 22:00:00,3612.55,37.038
2019-01-18 23:00:00,3608.93,37.038
2019-01-19 00:00:00,3609.6,37.038
2019-01-19 01:00:00,3612.64,37.038
2019-01-19 02:00:00,3621.9,37.038
2019-01-19 03:00:00,3620.76,37.038
2019-01-19 04:00:00,3621.88,37.038
2019-01-19 05:00:00,3621.22,37.038
2019-01-19 06:00:00,3618.37,37.038
2019-01-19 07:00:00,3617.81,37.038
2019-01-19 08:00:00,3622.36,37.038
2019-01-19 09:00:00,3624.71,37.038
2019-01-19 10:00:00,3725.14,37.038
2019-01-19 11:00:00,3723.71,37.038
2019-01-19 12:00:00,3718.69,37.038
2019-01-19 13:00:00,3712.73,37.038
2019-01-19 14:00:00,3710.34,37.038
2019-01-19 15:00:00,3709.86,37.038
2019-01-19 16:00:00,3711.08,37.038
2019-01-19 17:00:00,3711.84,37.038
2019-01-19 18:00:00,3695.19,37.038
2019-01-19 19:00:00,3702.17,37.038
2019-01-19 20:00:00,3701.2,37.038
2019-01-19 21:00:00,3699.66,37.038
2019-01-19 22:00:00,3700.37,37.038
2019-01-19 23:00:00,3687.5,37.038
2019-01-20 00:00:00,3682.38,37.038
2019-01-20 01:00:00,3693.96,37.038
2019-01-20 02:00:00,3696.12,37.038
2019-01-20 03:00:00,3696.45,37.038
2019-01-20 04:00:00,3696.24,37.038
2019-01-20 05:00:00,3690.49,37.038
2019-01-20 06:00:00,3686.27,37.038
2019-01-20 07:00:00,3688.3,37.038
2019-01-20 08:00:00,3688.48,37.038
2019-01-20 09:00:00,3692.17,37.038
2019-01-20 10:00:00,3691,37.038
2019-01-20 11:00:00,3619.19,37.038
2019-01-20 12:00:00,3518.15,37.038
2019-01-20 13:00:00,3514.71,37.038
2019-01-20 14:00:00,3526.31,37.038
2019-01-20 15:00:00,3520.7,37.038
2019-01-20 16:00:00,3519.49,37.038
2019-01-20 17:00:00,3518.49,37.038
2019-01-20 18:00:00,3520.03,37.038
2019-01-20 19:00:00,3518.37,37.038
2019-01-20 20:00:00,3525.16,37.038
2019-01-20 21:00:00,3538.21,37.038
2019-01-20 22:00:00,3549.85,37.038
2019-01-20 23:00:00,3538.22,37.038
2019-01-21 00:00:00,3542.05,37.038
2019-01-21 01:00:00,3537.23,37.038
2019-01-21 02:00:00,3538.7,37.038
2019-01-21 03:00:00,3527.89,37.038
2019-01-21 04:00:00,3522.45,37.038
2019-01-21 05:00:00,3526.51,37.038
2019-01-21 06:00:00,3532.53,37.038
2019-01-21 07:00:00,3529.49,37.038
2019-01-21 08:00:00,3527.88,37.038
2019-01-21 09:00:00,3528.13,37.038
2019-01-21 10:00:00,3536.7,37.038
2019-01-21 11:00:00,3543.69,37.038
2019-01-21 12:00:00,3543.23,37.038
2019-01-21 13:00:00,3548.52,37.038
2019-01-21 14:00:00,3538.14,37.038
2019-01-21 15:00:00,3535.34,37.038
2019-01-21 16:00:00,3542.1,37.038
2019-01-21 17:00:00,3545.15,37.038
2019-01-21 18:00:00,3539.9,37.038
2019-01-21 19:00:00,3544.37,37.038
2019-01-21 20:00:00,3539.14,37.038
2019-01-21 21:00:00,3527.82,37.038
2019-01-21 22:00:00,3521.31,37.038
2019-01-21 23:00:00,3538.45,37.038
2019-01-22 00:00:00,3539.23,37.038
2019-01-22 01:00:00,3538.76,37.038
2019-01-22 02:00:00,3545.66,37.038
2019-01-22 03:00:00,3533.26,37.038
2019-01-22 04:00:00,3534.35,37.038
2019-01-22 05:00:00,3529.23,37.038
2019-01-22 06:00:00,3523.06,37.837
2019-01-22 07:00:00,3518.97,38.278
2019-01-22 08:00:00,3528.94,38.988
2019-01-22 09:00:00,3522.82,38.997
2019-01-22 10:00:00,3519.89,39.307
2019-01-22 11:00:00,3479.16,40.178
2019-01-22 12:00:00,3558.13,40.387
2019-01-22 13:00:00,3550.92,40.387
2019-01-22 14:00:00,3564.64,40.387
2019-01-22 15:00:00,3573.99,40.387
2019-01-22 16:00:00,3586.52,40.387
2019-01-22 17:00:00,3584.24,40.387
2019-01-22 18:00:00,3585.13,40.387
2019-01-22 19:00:00,3590.1,40.387
2019-01-22 20:00:00,3585.92,40.387
2019-01-22 21:00:00,3581.55,40.387
2019-01-22 22:00:00,3577.45,40.387
2019-01-22 23:00:00,3577.85,40.387
2019-01-23 00:00:00,3581.21,40.387
2019-01-23 01:00:00,3581.81,40.387
2019-01-23 02:00:00,3591.71,40.387
2019-01-23 03:00:00,3584.75,40.387
2019-01-23 04:00:00,3570.11,40.387
2019-01-23 05:00:00,3575.67,40.387
2019-01-23 06:00:00,3580.65,39.887
